"","GENE","ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","NDC80","NUF2","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T","ABCC3","ACOX2","ACSL3","AHCYL1","AK2","AKAP1","ARF1","ARHGDIB","ARL6IP1","ARNT2","ARPC1B","ASF1A","ATP6AP1","BAG4","BIRC2","BMP7","BRCA1","BTF3","BUB1","BUB3","KIT","C10orf116","C10orf67","C11orf45","C11orf54","C4A","C5orf13","CABP4","CASP1","CASP3","CASP7","CCNG2","CCNH","CD38","CD3D","CD4","CD58","CD59","CDH1","CDKN2D","CDKN3","CEBPG","CENPE","CES2","CETN3","CHAF1B","CHI3L1","CHI3L2","CKS1B","CKS2","CLDN3","CLDN4","CLGN","CLTC","COX5A","CP","CRABP1","CSE1L","CSRP2","CST6","CTNNA1","CX3CL1","CXCL9","DAZAP2","DLX5","DUSP4","DUSP6","DYRK4","ECHDC1","EIF2C2","EPHX2","EPOR","ETFA","EXOSC9","EXT2","FABP7","FADD","FAM3C","FANCA","FBL","FEM1B","FGF12","FKBP11","FOLR1","FUBP1","FUCA1","FUT8","GARS","GART","GATA3","GATM","GLG1","GPSM2","GSTK1","GSTM1","GSTP1","GTPBP4","H1F0","H3F3B","HDAC2","HINT1","HIPK2","HLA.DRB1","HMGB2","HOXB6","HTATIP2","IDH2","IFI30","IFI6","IFITM1","IGBP1","IGFBP2","IL13RA1","IMPA2","INPP4B","INSM1","ISG15","ISG20","ITGB4","KCNMA1","KIAA0101","KIAA0182","KIF13B","KIF2C.1","KRT13","KRT14.1","KRT15","KRT16","KRT17.1","KRT18","HBA2","LIPE","IVL","LEP","ITPKA","CNN1","ABP1","C6","GPD1","MUC2","MYH2","PYGM","RDH5","ROS1","TNNC2","IL20","MYO3B","AQPEP","PLAC9","ARMC3","MS4A15","SKA1","HEPACAM","LRRN4CL","SKA3","PI16","VSTM2A","SCUBE3","CNIH2","MAMDC2","ASPM","PRSS33","PYDC1","LOC283392","NPW","TMEM145","IGSF10","TUSC5","S100A7A","GPIHBP1","GPR109A","LST.3TM12","FAM5C","KY","SBSN","C9orf169","SPDYC","KRTDAP","SAMD5","CSAG3","C14orf180","DEFB132","C4orf40","KLHL31","PRRT4","CXADRP3","SULT1C3","LMOD2","CT45A1","HEPN1","FAM196A","NBPF6","LRTM2","LOC728264","MAGEA9B","PLIN4","GAGE2D","FAM72A","FAM196B","GAGE12D","PDE2A","PDE3B","PDK4","PENK","PFKFB1","PITX1","PLIN1","PLK1","FXYD1","PPARG","PPP1R1A","PPP2R2C","MASP1","PVALB","PYGM.1","RBP4","RDH5.1","ROS1.1","RRM2.1","S100A8","S100A9","S100P","SAA1","SAA2","SERPINB3","SERPINB4","SCN3A","SCN4A","SRL","CCL11","CCL14","CXCL11","SFTPB","SIX3","SLC1A6","SLC2A4","SLC6A4","SLN","SOX2","SPRR1B","AURKA","SYT4","TDO2","TFR2","TIMP4","TK1","CLEC3B","TNNC2.1","TNNC1","TNNI1","TNNI2","TNNI3","TNNT3","IDH3","IFI6.1","ISG15.1","STAT1","ISG20.1","CXCL9.1","CASP1.1","NMI","YES1","SOD2","SNRPD1","EIF2C2.1","GARS.1","SOX4","SUBTYPE"
"457","TCGA-PL-A8LV-01A-21R-A41B-07",486,2939,4891,717,1740,1714,1992,1494,3480,1792,3990,11252,1750,941,2347,8380,181,415,129,440,2247,2007,1181,2172,84375,136682,132553,123,3790,2256,2219,7330,1125,26876,4062,5816,342,976,1503,595,82,965,3388,3992,5509,2726,93,2183,2223,1881,413,44,3142,4123,7860,3370,32614,5012,14265,322,12917,524,10461,230,1724,25,1470,11605,1353,4148,851,14955,72,40,611,13399,1212,41,529,1782,1173,1554,640,401,363,2515,749,12235,10768,1131,1217,4147,838,1151,417,611,1953,19019,3155,6100,21421,71090,104,15901,6714,475,177,4448,1181,92,21393,2069,12681,9527,79,126,715,413,705,818,731,168,5472,800,2241,146,827,2423,1212,12202,4072,58,1832,200,2314,998,1941,3204,2410,568,435,5965,2032,14233,0,25151,3729,8632,20251,5042,6777,2641,11232,8396,234,2640,11587,8648,3534,4699,2537,770,6286,1171,246,12,1550,949,5944,141,1200,1669,2009,2172,94,84375,2923,121788,136682,14088,717,13399,2347,20251,3990,717,1181,141,2069,1131,342,1212,363,1212,486,2007,486,2939,2007,486,524,10461,230,1724,2939,2007,486,1212,4123,19019,486,486,2939,4891,717,1740,1714,1992,1494,3480,1792,3990,11252,5042,6777,2641,11232,8396,234,2640,1740,1714,1992,1494,3480,1792,3990,11252,1750,941,2347,8380,181,415,1217,4147,838,1151,417,611,1953,19019,3155,6100,21421,71090,26876,4062,5816,342,976,1503,595,82,965,2172,94,84375,2923,121788,136682,14088,717,13399,2939,2007,486,524,10461,230,1724,2939,2007,486,1212,4123,19019,486,NA,NA,NA,NA,NA,6777,2641,11232,8396,234,2640,11587,8648,3534,4699,2537,770,1503,595,82,965,3388,3992,5509,2726,2939,363,1212,1714,"Basal"
"458","TCGA-BH-A0DQ-11A-12R-A089-07",742,249,5116,9299,100,4927,746,74,283,318,6862,901,169,1789,5885,21901,15047,101,281,17043,1617,3155,1918,229,24416,6302,30699,12109,8730,127,1130,1179,27199,311,258,8156,2252,157,86,113,22582,4433,157,392,76267,136737,275,598,119,192,1135,831,13311,20059,6381,8931,25718,13234,13925,2734,3715,1920,11666,1162,5642,683,930,41022,157,6598,21770,5236,0,151,4386,44815,3865,120,1270,1755,2830,13213,1789,158,233,2430,520,61762,62374,257,77,3178,188,4632,1045,494,9902,2554,1484,610,2334,8552,895,39079,2974,52491,2025,7098,1083,23,31137,11783,751,23928,11,3596,4745,902,3226,721,3338,254,3726,1319,8016,495,1809,3809,181,10853,12139,91,1726,3753,5911,4331,3562,4375,4570,11917,2809,23593,803,8255,5222,10337,2834,23687,44429,7198,10796,17630,6408,4342,915,1366,5360,2585,1996,4022,6046,4347,11337,758,3467,10,369,586,12389,2544,167,10627,11815,229,1038,24416,50915,345,6302,28195,9299,44815,5885,44429,6862,9299,1918,2544,11783,257,2252,181,233,181,742,3155,742,249,3155,742,1920,11666,1162,5642,249,3155,742,181,20059,2554,742,742,249,5116,9299,100,4927,746,74,283,318,6862,901,7198,10796,17630,6408,4342,915,1366,100,4927,746,74,283,318,6862,901,169,1789,5885,21901,15047,101,77,3178,188,4632,1045,494,9902,2554,1484,610,2334,8552,311,258,8156,2252,157,86,113,22582,4433,229,1038,24416,50915,345,6302,28195,9299,44815,249,3155,742,1920,11666,1162,5642,249,3155,742,181,20059,2554,742,NA,NA,NA,NA,NA,10796,17630,6408,4342,915,1366,5360,2585,1996,4022,6046,4347,86,113,22582,4433,157,392,76267,136737,249,233,181,4927,"Basal"
"459","TCGA-E9-A22A-01A-11R-A157-07",659,3484,3151,2051,2074,4200,3271,251,4973,729,2836,10095,2753,1832,380,7948,10350,1174,731,12175,391,2533,281,2290,1262,2476,1389,2946,9023,2161,28,12126,13075,56510,4202,3074,7415,1602,1321,504,440,1685,1453,3548,453,29159,589,1911,3943,2501,993,1433,12959,8083,7285,8163,57792,15798,35722,305,14401,1572,21472,3917,4901,5367,690,18231,2317,11523,1550,11751,1,144,1362,24988,11145,11,1730,5192,4029,3432,1376,175,814,6985,646,34114,43997,1240,762,5924,1144,4115,1032,951,1460,156,3346,3321,5470,12959,19,130390,6300,20,70,8112,1002,2834,23918,4991,16654,22269,508,431,2772,1835,3266,1077,568,200,5560,1830,9299,9,3270,4762,1371,7048,7746,104,1613,7,3817,3582,4021,14124,4469,56808,2483,14789,1408,7531,5,7463,3888,22679,48073,5656,7409,1486,46367,6487,2089,5514,24297,17355,73733,65280,3082,11127,13487,708,1295,12,26609,2125,3936,1735,1796,6954,928,2290,2,1262,229,126,2476,117498,2051,24988,380,48073,2836,2051,281,1735,4991,1240,7415,1371,814,1371,659,2533,659,3484,2533,659,1572,21472,3917,4901,3484,2533,659,1371,8083,156,659,659,3484,3151,2051,2074,4200,3271,251,4973,729,2836,10095,5656,7409,1486,46367,6487,2089,5514,2074,4200,3271,251,4973,729,2836,10095,2753,1832,380,7948,10350,1174,762,5924,1144,4115,1032,951,1460,156,3346,3321,5470,12959,56510,4202,3074,7415,1602,1321,504,440,1685,2290,2,1262,229,126,2476,117498,2051,24988,3484,2533,659,1572,21472,3917,4901,3484,2533,659,1371,8083,156,659,NA,NA,NA,NA,NA,7409,1486,46367,6487,2089,5514,24297,17355,73733,65280,3082,11127,1321,504,440,1685,1453,3548,453,29159,3484,814,1371,4200,"Basal"
"460","TCGA-BH-A0DD-01A-31R-A12P-07",632,8391,2909,12954,1484,4371,6427,199,4404,15708,900,28625,3876,2890,86,104210,50110,2576,99,21177,82,3011,7130,4571,2,12,142,19108,5886,2271,4,25086,9877,31556,7743,5871,27144,2390,1717,775,48885,4258,2242,3589,70,214270,70,4462,2883,3171,777,150,10061,6527,5042,7763,35642,6436,31295,6114,4276,1365,14144,737,3371,60,3733,25708,3819,16619,551,3281,27,140,941,150927,5910,140,480,2611,2759,9057,930,55,114,1450,410,21865,57255,1170,1202,4282,4430,2350,985,1248,671,71,2650,3194,2435,8829,958,66203,2988,1816,7,12062,228,121,29864,633,2461,14373,13,975,2037,708,360,1502,453,294,2379,1466,13142,1,7291,2651,2290,7022,6291,60,381,0,5213,1373,2993,6767,5012,36806,2623,8699,2942,3455,1694,934,3477,52806,21582,7069,7908,15659,8368,16196,116,1743,7414,5154,19960,71946,4160,4390,18029,1543,6184,3970,8823,524,305,1158,2502,13184,4386,4571,16,2,538,7,12,25682,12954,150927,86,21582,900,12954,7130,1158,633,1170,27144,2290,114,2290,632,3011,632,8391,3011,632,1365,14144,737,3371,8391,3011,632,2290,6527,71,632,632,8391,2909,12954,1484,4371,6427,199,4404,15708,900,28625,7069,7908,15659,8368,16196,116,1743,1484,4371,6427,199,4404,15708,900,28625,3876,2890,86,104210,50110,2576,1202,4282,4430,2350,985,1248,671,71,2650,3194,2435,8829,31556,7743,5871,27144,2390,1717,775,48885,4258,4571,16,2,538,7,12,25682,12954,150927,8391,3011,632,1365,14144,737,3371,8391,3011,632,2290,6527,71,632,NA,NA,NA,NA,NA,7908,15659,8368,16196,116,1743,7414,5154,19960,71946,4160,4390,1717,775,48885,4258,2242,3589,70,214270,8391,114,2290,4371,"LumA"
"461","TCGA-AO-A12B-01A-11R-A10J-07",516,1039,12463,3891,560,4085,2917,24,705,1944,36,2157,479,3027,25,8011,103884,223,26,31962,150,5640,699,638,3,6,0,10827,4600,288,10,2111,21198,4349,535,2725,936,565,465,83,33492,1984,942,1865,86,94307,133,1285,848,1224,70,1787,8818,13418,4287,4092,34058,10046,17412,9326,4760,1192,13738,348,3557,1,1200,40491,396,5781,58,11092,0,30,1829,70305,1489,27,476,1246,5319,3176,1674,18,57,1116,408,16711,20589,476,276,2554,365,1879,1185,701,1931,526,1677,1231,1433,4214,2784,22463,3925,0,3841,9682,199,99,16764,1146,600,14678,19,6104,2159,527,1813,108,6385,259,1502,864,1054,0,1830,4536,131,5814,2568,193,5230,0,2928,7132,2410,2993,3870,35389,466,7205,1350,8714,3187,2688,1786,13480,31971,4561,10406,11425,4106,9530,338,1329,2710,6359,68051,23691,3636,11380,4504,284,715,43840,14168,1014,114,5583,502,6634,13325,638,0,3,28,6,6,38109,3891,70305,25,31971,36,3891,699,5583,1146,476,936,131,57,131,516,5640,516,1039,5640,516,1192,13738,348,3557,1039,5640,516,131,13418,526,516,516,1039,12463,3891,560,4085,2917,24,705,1944,36,2157,4561,10406,11425,4106,9530,338,1329,560,4085,2917,24,705,1944,36,2157,479,3027,25,8011,103884,223,276,2554,365,1879,1185,701,1931,526,1677,1231,1433,4214,4349,535,2725,936,565,465,83,33492,1984,638,0,3,28,6,6,38109,3891,70305,1039,5640,516,1192,13738,348,3557,1039,5640,516,131,13418,526,516,NA,NA,NA,NA,NA,10406,11425,4106,9530,338,1329,2710,6359,68051,23691,3636,11380,465,83,33492,1984,942,1865,86,94307,1039,57,131,4085,"Basal"
"462","TCGA-EW-A2FW-01A-11R-A17B-07",307,3969,18860,4424,2295,3435,8789,184,2083,2668,442,11291,1930,3491,73,22394,58662,1303,1734,30402,181,2897,2094,2456,232,290,242,5135,13751,1588,2,8830,24057,13225,2605,1932,18442,1750,2380,991,1553,562,2991,2266,301,242067,223,4630,2490,3770,946,2585,11090,9933,4243,3804,65539,4823,38316,2833,4739,1571,31421,434,1739,16,3465,32424,2294,10992,180,10646,0,277,553,6624,3305,154,206,2426,1522,3572,2471,11,94,1455,211,14042,55585,1214,1373,2721,1928,4051,974,1558,183,30,7404,3396,3381,9281,278,27802,5045,43,4,22182,531,34,19249,546,1028,24368,17,4376,2762,716,1058,218,1774,316,3042,2080,4067,0,1978,4239,2094,5292,5398,517,2655,3,2772,1838,5191,5077,3720,96764,161,7902,3131,5941,3354,1390,3438,29914,26371,4357,8472,2100,4359,25988,60,760,7311,5560,724,1591,3221,2377,5306,1158,1217,42,364,853,1521,714,1769,24801,3233,2456,2,232,96,5,290,85473,4424,6624,73,26371,442,4424,2094,714,546,1214,18442,2094,94,2094,307,2897,307,3969,2897,307,1571,31421,434,1739,3969,2897,307,2094,9933,30,307,307,3969,18860,4424,2295,3435,8789,184,2083,2668,442,11291,4357,8472,2100,4359,25988,60,760,2295,3435,8789,184,2083,2668,442,11291,1930,3491,73,22394,58662,1303,1373,2721,1928,4051,974,1558,183,30,7404,3396,3381,9281,13225,2605,1932,18442,1750,2380,991,1553,562,2456,2,232,96,5,290,85473,4424,6624,3969,2897,307,1571,31421,434,1739,3969,2897,307,2094,9933,30,307,NA,NA,NA,NA,NA,8472,2100,4359,25988,60,760,7311,5560,724,1591,3221,2377,2380,991,1553,562,2991,2266,301,242067,3969,94,2094,3435,"LumA"
"463","TCGA-AO-A1KS-01A-11R-A13Q-07",640,3419,3290,11436,1363,1505,6701,351,897,2477,974,8116,2824,1379,574,14321,85355,1165,1725,52127,367,3464,1266,900,385,410,1072,2809,11227,1858,40,15443,5906,6386,1689,5711,38005,1129,1687,394,57002,516,1565,4406,4666,138106,213,2380,2521,2356,548,169,11029,13136,4900,6218,27943,5564,47524,5824,1519,3310,26768,1657,4703,718,2777,35196,1902,21399,1900,1156,11,62,1839,11498,5694,25,629,4754,1826,14383,1916,52,142,2392,609,17327,21967,131,944,6923,2752,1211,1074,1367,1379,113,3228,2059,587,4969,1139,68703,4953,1181,211,17320,214,6,30593,1150,2227,32923,20,2265,2879,1254,2364,1596,1518,122,3998,1314,10156,19,1184,5272,857,4718,15520,64,625,23,3303,3665,6096,8161,5520,48026,467,7654,2405,2251,6,1078,4517,7937,59473,16387,15742,7951,3730,6683,33,840,3456,4337,16132,9264,2961,1327,13445,516,1298,119,455,126,849,4459,1947,20294,4303,900,0,385,378,13,410,12570,11436,11498,574,59473,974,11436,1266,4459,1150,131,38005,857,142,857,640,3464,640,3419,3464,640,3310,26768,1657,4703,3419,3464,640,857,13136,113,640,640,3419,3290,11436,1363,1505,6701,351,897,2477,974,8116,16387,15742,7951,3730,6683,33,840,1363,1505,6701,351,897,2477,974,8116,2824,1379,574,14321,85355,1165,944,6923,2752,1211,1074,1367,1379,113,3228,2059,587,4969,6386,1689,5711,38005,1129,1687,394,57002,516,900,0,385,378,13,410,12570,11436,11498,3419,3464,640,3310,26768,1657,4703,3419,3464,640,857,13136,113,640,NA,NA,NA,NA,NA,15742,7951,3730,6683,33,840,3456,4337,16132,9264,2961,1327,1687,394,57002,516,1565,4406,4666,138106,3419,142,857,1505,"Her2"
"464","TCGA-AC-A2QJ-01A-12R-A19W-07",1521,406,2607,164,2580,4073,2256,388,4680,531,2303,790,241,1142,132,3954,61,262,567,15,596,50,132,1745,65276,72706,34070,80,762,194,1361,2170,1113,148246,4258,10790,75,366,218,145,0,9883,2586,1416,294,1082,55,1381,2293,458,835,239,1136,3429,5803,528,25190,9284,1861,110,34653,202,13823,24,838,42,263,17522,210,1312,90,574,3,103,381,6146,7690,73,943,1230,629,370,698,19,167,11609,445,18582,663,575,275,776,274,2039,370,359,26193,1417,2737,956,434,3913,0,9801,5128,92,5,3140,1533,1778,9933,1809,210,5050,740,295,1602,1253,1192,435,303,200,1692,883,4749,1,2039,2040,574,8949,1087,15,4288,494,879,1691,450,7266,1711,196,264,12827,265,8480,14,31786,1350,6743,21879,2383,10663,398,17969,2242,427,1050,8531,30377,27086,18322,1985,53268,3859,1081,60,1,10385,1105,3834,208,495,685,1270,1745,1054,65276,14512,42551,72706,3331,164,6146,132,21879,2303,164,132,208,1809,575,75,574,167,574,1521,50,1521,406,50,1521,202,13823,24,838,406,50,1521,574,3429,1417,1521,1521,406,2607,164,2580,4073,2256,388,4680,531,2303,790,2383,10663,398,17969,2242,427,1050,2580,4073,2256,388,4680,531,2303,790,241,1142,132,3954,61,262,275,776,274,2039,370,359,26193,1417,2737,956,434,3913,148246,4258,10790,75,366,218,145,0,9883,1745,1054,65276,14512,42551,72706,3331,164,6146,406,50,1521,202,13823,24,838,406,50,1521,574,3429,1417,1521,NA,NA,NA,NA,NA,10663,398,17969,2242,427,1050,8531,30377,27086,18322,1985,53268,218,145,0,9883,2586,1416,294,1082,406,167,574,4073,"LumA"
"465","TCGA-B6-A0WV-01A-11R-A109-07",607,3324,2374,4998,1300,4034,1655,263,954,2023,1647,6334,1582,3773,159,8409,70709,702,95,17382,125,2874,413,1250,1426,1685,1575,18771,13463,616,24,10391,11184,13509,4262,2201,16492,499,502,365,3954,4547,1134,5079,670,54971,83,1571,2013,812,179,953,7383,8574,3948,4807,20413,1621,19814,1957,4024,817,14107,653,1967,96,1985,15193,1821,16998,415,5282,0,42,744,52133,2905,53,106,2126,3029,6565,1563,0,17,276,234,20285,52705,610,762,3448,1542,3316,976,877,678,516,1572,1598,2831,11529,90,54144,1886,1646,13,10817,161,784,43545,779,211,17927,8,2002,776,537,1178,469,643,70,2141,1007,3782,2,2834,2026,909,3814,3555,70,399,18,3748,2460,7612,6123,3192,41393,1498,8500,1458,4593,3362,933,2433,22491,54987,3628,5827,12134,2737,5885,54,1192,4264,1872,8294,6212,2959,3725,10979,465,2522,2,1806,190,7156,4592,957,10605,1482,1250,82,1426,740,58,1685,47759,4998,52133,159,54987,1647,4998,413,4592,779,610,16492,909,17,909,607,2874,607,3324,2874,607,817,14107,653,1967,3324,2874,607,909,8574,516,607,607,3324,2374,4998,1300,4034,1655,263,954,2023,1647,6334,3628,5827,12134,2737,5885,54,1192,1300,4034,1655,263,954,2023,1647,6334,1582,3773,159,8409,70709,702,762,3448,1542,3316,976,877,678,516,1572,1598,2831,11529,13509,4262,2201,16492,499,502,365,3954,4547,1250,82,1426,740,58,1685,47759,4998,52133,3324,2874,607,817,14107,653,1967,3324,2874,607,909,8574,516,607,NA,NA,NA,NA,NA,5827,12134,2737,5885,54,1192,4264,1872,8294,6212,2959,3725,502,365,3954,4547,1134,5079,670,54971,3324,17,909,4034,"LumB"
"466","TCGA-E2-A15I-11A-32R-A137-07",295,21,2102,5825,3,1791,226,21,12,47,696,166,16,492,6205,1895,2198,7,27,267,714,553,149,7,4429,2269,6851,1515,3861,6,94,102,474,99,28,9037,159,18,10,10,1150,3344,17,22,21953,5828,29,172,9,26,262,1129,4249,9546,4279,7872,11099,3292,15110,194,1096,890,3721,704,3058,134,373,21051,29,2848,5262,24910,0,37,1784,1673,1356,6,812,948,1572,6481,2048,130,44,1003,623,26734,3193,142,15,2802,71,2631,722,151,248,489,1441,46,159,781,22,18457,3735,179,142,3514,2126,7,16034,6264,321,9234,10,1452,11997,398,6729,485,2090,169,8826,824,3898,76,374,1881,24,2759,5012,128,401,197,2244,1442,1339,2298,2659,1178,1001,10178,329,4984,3,5518,1411,5009,21673,3144,5162,7202,1534,4821,134,696,2227,303,911,3288,4721,784,10788,618,280,0,134,143,2213,1339,15,4710,2068,7,2,4429,3675,60,2269,1484,5825,1673,6205,21673,696,5825,149,1339,6264,142,159,24,44,24,295,553,295,21,553,295,890,3721,704,3058,21,553,295,24,9546,489,295,295,21,2102,5825,3,1791,226,21,12,47,696,166,3144,5162,7202,1534,4821,134,696,3,1791,226,21,12,47,696,166,16,492,6205,1895,2198,7,15,2802,71,2631,722,151,248,489,1441,46,159,781,99,28,9037,159,18,10,10,1150,3344,7,2,4429,3675,60,2269,1484,5825,1673,21,553,295,890,3721,704,3058,21,553,295,24,9546,489,295,NA,NA,NA,NA,NA,5162,7202,1534,4821,134,696,2227,303,911,3288,4721,784,10,10,1150,3344,17,22,21953,5828,21,44,24,1791,"LumA"
"467","TCGA-B6-A0RN-01A-12R-A084-07",543,140,3472,6447,159,1578,843,43,218,128,1240,1080,130,2792,96,19137,23740,62,499,24140,127,2916,1321,234,105,202,110,13239,3978,104,3,544,19473,16607,145,2936,20183,117,135,41,17178,857,158,343,379,16784,542,286,189,367,493,1084,10531,9272,5598,2715,32393,11588,24292,2633,4904,1911,13848,685,3146,500,298,29714,121,6756,265,3434,1,47,1535,211376,7799,73,233,1534,2427,8380,1388,18,95,1012,570,18796,1656,273,64,2198,132,1494,963,375,22,155,2543,974,3299,12562,336,22580,3069,6,673,5583,1080,216,23559,467,300,17761,21,3297,3670,591,2415,218,1617,216,2189,756,5025,0,1973,2466,32,8097,5998,37,748,1,4460,3151,3928,4756,2815,57900,2223,7495,642,5330,10,3365,2485,20208,32026,5152,10441,8826,8406,2257,95,591,10600,1815,1655,14278,4080,5867,11311,328,1792,16,729,154,2345,1798,311,4280,10937,234,0,105,192,53,202,37380,6447,211376,96,32026,1240,6447,1321,1798,467,273,20183,32,95,32,543,2916,543,140,2916,543,1911,13848,685,3146,140,2916,543,32,9272,155,543,543,140,3472,6447,159,1578,843,43,218,128,1240,1080,5152,10441,8826,8406,2257,95,591,159,1578,843,43,218,128,1240,1080,130,2792,96,19137,23740,62,64,2198,132,1494,963,375,22,155,2543,974,3299,12562,16607,145,2936,20183,117,135,41,17178,857,234,0,105,192,53,202,37380,6447,211376,140,2916,543,1911,13848,685,3146,140,2916,543,32,9272,155,543,NA,NA,NA,NA,NA,10441,8826,8406,2257,95,591,10600,1815,1655,14278,4080,5867,135,41,17178,857,158,343,379,16784,140,95,32,1578,"LumA"
"468","TCGA-A8-A07U-01A-11R-A034-07",372,5858,3625,1091,1291,2461,2699,2710,2488,1302,23238,14815,2494,1203,3790,16190,951,777,408,415,1483,271,1260,2745,319,2410,5980,205,5422,3741,12,14619,499,21675,8338,7080,85,1082,3502,421,164,2238,1910,3777,1304,5855,102,1381,4009,942,398,79,2993,5814,7840,4121,41688,14870,14657,854,7251,1113,8987,470,3267,190,1261,9594,3185,3825,1388,1067,0,251,622,34554,3001,8,2293,1823,2299,2286,551,1988,825,7735,462,54139,45250,832,782,10214,1329,2239,314,861,4643,11259,7463,2342,1455,25413,35,25489,5870,12223,1275,10953,309,136,16834,3387,19532,9240,22,518,1558,905,1454,3522,583,91,3237,1038,9313,80819,2324,4062,2547,20411,4687,108,2186,50,3495,3239,1605,11898,6449,4715,1201,19699,1810,5827,1989,9010,14686,10769,22197,5648,6750,7002,22594,6227,98,2674,21513,24037,52402,32788,2146,205,8799,1712,230,13,12174,3316,3118,342,604,6166,2011,2745,4,319,357,3717,2410,6792,1091,34554,3790,22197,23238,1091,1260,342,3387,832,85,2547,825,2547,372,271,372,5858,271,372,1113,8987,470,3267,5858,271,372,2547,5814,11259,372,372,5858,3625,1091,1291,2461,2699,2710,2488,1302,23238,14815,5648,6750,7002,22594,6227,98,2674,1291,2461,2699,2710,2488,1302,23238,14815,2494,1203,3790,16190,951,777,782,10214,1329,2239,314,861,4643,11259,7463,2342,1455,25413,21675,8338,7080,85,1082,3502,421,164,2238,2745,4,319,357,3717,2410,6792,1091,34554,5858,271,372,1113,8987,470,3267,5858,271,372,2547,5814,11259,372,NA,NA,NA,NA,NA,6750,7002,22594,6227,98,2674,21513,24037,52402,32788,2146,205,3502,421,164,2238,1910,3777,1304,5855,5858,825,2547,2461,"LumA"
"469","TCGA-B6-A0RV-01A-11R-A084-07",692,1459,4800,3876,472,7317,2258,132,1566,612,1772,2213,789,3754,837,11960,49819,342,836,24921,539,3357,896,1105,1438,2896,4203,7676,5098,716,146,4531,19542,7870,1938,3645,9134,512,395,134,24976,3492,808,3448,13392,238931,508,1590,1225,507,1523,2861,14261,18991,5009,4850,24270,8282,15938,24437,6536,1131,12521,3393,3394,91,508,34385,884,7965,4191,5992,0,55,1976,171114,2764,164,895,2236,3072,10197,1133,68,368,2394,339,28988,3790,393,333,2164,585,2045,716,711,1945,329,1457,1722,1852,22217,1058,97877,3303,1287,325,5444,452,14,21556,3745,2424,17699,11,6477,2827,502,2488,367,1682,138,2277,1038,4092,10,1769,2442,365,7570,7101,52,1095,437,4829,3014,3226,6945,4261,29546,641,7129,1126,7285,3,3196,2680,17278,22735,6641,13169,10801,6934,8109,167,1432,6787,3704,31797,14886,3892,15253,10452,721,2478,33,4960,978,6361,1634,995,4947,11159,1105,2,1438,3482,48,2896,35781,3876,171114,837,22735,1772,3876,896,1634,3745,393,9134,365,368,365,692,3357,692,1459,3357,692,1131,12521,3393,3394,1459,3357,692,365,18991,329,692,692,1459,4800,3876,472,7317,2258,132,1566,612,1772,2213,6641,13169,10801,6934,8109,167,1432,472,7317,2258,132,1566,612,1772,2213,789,3754,837,11960,49819,342,333,2164,585,2045,716,711,1945,329,1457,1722,1852,22217,7870,1938,3645,9134,512,395,134,24976,3492,1105,2,1438,3482,48,2896,35781,3876,171114,1459,3357,692,1131,12521,3393,3394,1459,3357,692,365,18991,329,692,NA,NA,NA,NA,NA,13169,10801,6934,8109,167,1432,6787,3704,31797,14886,3892,15253,395,134,24976,3492,808,3448,13392,238931,1459,368,365,7317,"LumA"
