gene,logFC,logCPM,LR,PValue,FDR
ULK3,0.661832635792057,5.35225068915927,107.662355608929,3.1869880235257E-25,1.30970785414924E-24
SNED1,-0.709885207672865,5.04810410197268,62.5940997639607,2.54013319036001E-15,6.74455403887173E-15
HIGD1A,0.045771165013904,6.73080677706878,0.358789425347823,0.549179327497954,0.578383970329329
REXO2,-0.07368126773307,5.23361034068079,1.50063628091607,0.22057348566451,0.247215602197587
IBTK,-0.011827399067553,6.38714450479963,0.041383961653082,0.83879857545772,0.854169380122518
CLIP3,-0.895728709029469,4.482821707285,134.724141127838,3.7938134135255E-31,1.97972190496269E-30
TBC1D10B,0.766735973896925,6.3637942627058,258.1641787038,4.31207889673687E-58,5.21687985451684E-57
RNF167,0.249819632709225,6.81395657113996,26.8970049955415,2.14591165777336E-07,3.78796519132614E-07
MOXD1,1.10731585335307,3.76286833607617,55.5573272726763,9.0772854011908E-14,2.25088264202355E-13
GORASP2,0.390556288663739,7.13563334177767,102.149376798401,5.14890230902705E-24,2.00897569002724E-23
C2CD3,0.270184597026689,5.48850932653175,14.4021897095531,0.000147630542898,0.000217302003892
DAK,0.640481140651947,5.70226180415675,74.1793220070056,7.13336071190022E-18,2.13370438004278E-17
ZZZ3,-0.30213942138163,5.71537109264834,23.69699207284,1.12758634250425E-06,1.90592933820404E-06
SPATS2L,0.228212455894711,6.47622119096035,10.1870210756026,0.001414326159576,0.001937591711393
ODZ4,-0.015276082353991,4.07790055934189,0.017349170225316,0.895208732732386,0.906164397630887
NELF,0.610966172495854,5.6213137496938,67.6032542922433,1.9993728810115E-16,5.61611850564019E-16
L3MBTL,-0.539929643447646,2.47269434057666,24.8302027133882,6.26087531110342E-07,1.07484975225664E-06
RPAP1,-0.016682586010562,4.9777768510029,0.13248365765412,0.715870669759882,0.740070934661524
FAM32A,0.246705965322681,6.45339617635346,37.1440692741071,1.0971592760372E-09,2.20067247111407E-09
LRIG1,-0.425130050594199,7.79288757364022,23.1432849248147,1.50367393063239E-06,2.52187115415633E-06
UPF2,-0.003090823400509,5.95652554931918,0.002710919459105,0.958475713241318,0.963326953522942
LRP10,-0.066815757667885,7.94614407443393,1.36760682647309,0.242223489931851,0.269855957177967
TMEM98,-0.390529882202058,5.68634450365671,16.754406304658,4.25433515973017E-05,6.49111909987312E-05
PTCD1,0.611527517511768,4.46490007796218,127.543674318626,1.41257934668616E-29,6.91569500663938E-29
PCDHGA12,-0.762495335353765,1.91069348564996,44.6315885129122,2.3782351228548E-11,5.21328461652584E-11
ACOT11,0.794742851122171,1.73014625424362,33.6479580991097,6.60441693507158E-09,1.2739228262404E-08
PLEKHG3,0.084179953939435,5.51981991184766,1.76235691598004,0.184330806444322,0.208906377016612
OSBPL3,0.316677210595214,4.37431625807682,9.72599169098021,0.001816802664276,0.002468762963419
SUSD5,0.200748199202497,2.42877547179501,1.73810984329248,0.187378500397728,0.212102151434473
ATRNL1,1.36098775082593,3.3187145578982,25.6747649837921,4.04076491092925E-07,7.00571732461809E-07
